trial0result,trial1result,trial2result,trial3result,trial4result,trial5result,trial6result,trial7result
0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1
1,0,1,0,1,0,1,0
1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0
1,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0
1,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0
0,1,1,0,1,0,1,1
0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,1
0,0,0,1,0,0,0,1
1,0,0,0,1,1,1,1
1,1,0,1,1,0,1,0
0,0,0,1,0,0,0,0
1,0,0,0,0,1,1,0
0,0,0,0,0,1,1,1
0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0
1,1,0,1,1,0,1,1
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1
0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,1
1,0,1,0,0,0,1,1
0,0,1,0,1,0,1,0
1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1
1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1
1,1,0,1,0,1,0,0
1,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0
1,0,0,0,1,0,1,1
1,0,1,0,1,0,0,0
1,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0
1,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0
0,1,0,1,0,1,1,0
0,1,1,0,1,1,1,0
0,0,1,1,0,0,1,0
1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1
0,0,1,0,0,1,1,0
1,0,1,0,1,0,1,0
0,0,0,1,1,0,1,0
1,0,0,0,0,1,0,0
1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1
1,1,0,1,0,1,1,0
0,0,0,1,0,1,0,0
0,1,0,1,1,0,0,1
0,0,0,1,1,1,0,0
0,0,1,1,0,1,0,1
0,0,1,1,0,1,1,1
1,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0
1,0,0,1,1,1,0,1
1,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0
0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1
0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0
1,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0
1,0,0,1,1,0,0,0
0,1,1,1,0,1,0,0
0,0,0,0,1,1,0,0
1,0,1,1,1,1,1,0
1,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0
0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,1
0,0,0,1,1,0,0,0
1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1
0,0,1,0,0,1,1,0
1,1,0,1,1,1,0,1
0,0,0,0,0,0,0,1
1,0,0,1,1,1,0,1
0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1
0,1,1,1,1,1,0,1
0,0,0,0,0,0,1,0
0,0,1,1,0,1,1,0
0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0
1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0
1,1,0,1,0,0,1,0
0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0
1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,1,1,1,1,1,1,0
0,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0
0,0,1,0,0,1,1,0
0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0
0,0,1,1,0,1,1,0
1,0,0,0,1,1,1,0
1,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1
0,1,0,1,0,1,0,0
1,1,1,1,0,0,0,0
1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0
1,0,0,1,0,0,0,0
0,0,0,1,0,1,1,1
1,1,1,1,0,1,0,0
0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0
0,1,0,0,1,1,0,1
1,1,1,0,1,1,0,1
1,0,1,1,1,1,0,0
0,0,0,1,0,1,1,0
0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0
0,0,1,0,1,1,1,1
0,0,0,0,0,0,1,1
1,1,0,1,0,1,0,0
1,0,0,1,1,1,0,1
1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,1
0,0,0,0,0,1,1,0
1,0,1,0,1,1,0,0
0,0,0,0,1,1,0,0
0,0,1,1,0,1,1,0
1,1,1,0,1,0,0,0
1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0
0,0,1,1,1,0,0,0
0,0,0,1,0,0,0,0
1,0,1,0,1,1,0,0
0,0,0,1,1,1,0,1
0,1,1,1,0,0,1,0
0,0,0,1,0,1,0,0
0,1,0,1,1,1,1,0
1,0,1,1,0,0,0,1
0,0,0,0,0,0,0,1
1,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0
0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1
0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1
0,0,1,0,0,1,1,0
1,1,1,1,1,0,1,1
0,1,0,0,0,0,1,1
0,1,1,0,0,0,1,0
0,1,1,1,0,0,0,0
0,1,0,0,0,1,1,0
0,0,1,0,0,0,1,1
0,0,1,1,1,0,0,1
0,1,1,1,0,0,0,1
0,0,1,1,0,0,1,1
0,0,0,0,1,1,0,0
0,1,1,0,1,1,0,1
1,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0
1,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0
1,0,1,0,1,1,1,1
1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,1
0,1,1,0,1,0,0,0
0,0,1,0,0,1,1,0
1,1,0,1,0,1,0,1
0,0,1,0,1,0,0,0
0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0
1,1,0,1,1,1,0,1
0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,1
0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0
0,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0
0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1
0,0,0,1,1,0,1,1
1,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0
1,1,0,1,0,1,0,0
1,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0
0,0,0,0,0,0,0,1
1,1,0,1,0,1,1,0
0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1
1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1
0,0,1,0,1,1,1,0
0,1,0,1,0,1,1,0
0,0,0,1,0,1,0,1
1,0,0,1,1,1,1,0
0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0
1,1,1,1,0,0,1,1
1,0,0,0,1,0,0,0
0,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1
0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0
1,0,1,0,0,1,1,1
1,0,1,1,1,1,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0
0,0,0,0,0,1,1,1
0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1
0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,1
0,1,0,1,1,0,1,0
0,1,0,0,1,0,1,1
0,1,1,1,0,0,1,1
1,1,1,0,1,0,1,1
0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,1,1,1,0,0,1
1,0,1,1,0,1,0,1
0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
0,0,0,1,1,0,1,0
0,1,0,0,0,0,0,0
0,1,0,0,0,1,1,0
1,0,0,0,1,0,1,0
0,1,1,0,0,0,1,0
0,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,1
0,1,0,0,1,0,1,0
1,0,0,0,1,0,1,1
0,1,0,0,1,1,0,0
0,1,1,0,0,1,0,1
0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0
0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1
1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,0
0,0,1,0,0,1,0,1
1,0,0,1,0,0,0,1
1,0,0,0,1,1,0,0
0,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0
1,0,0,1,1,0,1,0
0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,1,0,1,0,1,1,1
0,0,0,1,1,1,0,0
1,1,0,1,0,1,1,1
0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0
1,1,0,0,1,0,0,0
0,0,1,0,0,1,0,0
1,0,0,1,1,1,0,0
1,0,1,0,0,1,0,0
0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,1
1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1
1,0,1,1,0,0,0,1
0,1,1,1,0,0,1,0
0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0
0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1
0,0,1,0,1,1,0,0
1,1,0,0,0,1,0,1
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1
1,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0
0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0
1,0,1,0,1,1,0,0
1,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0
1,1,1,0,1,0,0,1
1,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0
1,0,1,0,0,1,1,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0
0,1,0,1,1,0,0,1
1,1,0,0,0,0,0,1
0,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0
1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0
1,0,1,0,1,1,1,0
1,0,1,0,1,0,0,1
1,0,1,0,1,1,0,1
1,0,1,0,0,1,1,0
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0
0,0,0,0,1,1,1,0
0,0,1,1,0,1,0,0
0,0,1,0,0,0,0,1
0,0,1,0,1,1,0,0
1,1,0,0,0,1,1,0
1,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0
0,0,1,0,1,1,0,0
1,0,1,0,0,0,0,0
1,0,1,0,1,1,1,1
0,1,0,0,1,0,1,1
0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0
0,0,0,0,1,1,1,1
0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
1,1,0,1,0,1,0,0
1,1,0,0,0,1,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0
0,1,0,0,1,1,1,0
0,0,1,0,1,0,0,0
1,0,1,0,0,1,0,1
1,1,1,0,1,1,0,1
1,1,0,1,0,0,0,1
0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1
0,0,1,0,1,0,0,1
0,1,0,0,0,1,1,0
0,1,1,0,0,1,1,1
1,0,1,0,1,1,1,1
0,1,0,1,0,1,0,1
0,0,1,1,1,1,0,0
0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1
0,1,0,1,0,0,0,0
0,0,1,1,1,0,0,0
0,0,0,0,0,0,1,0
0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0
0,1,1,0,0,1,1,1
0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,1
0,1,0,1,0,1,0,0
0,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0
0,0,0,0,1,1,0,0
1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0
1,1,0,0,0,1,1,0
1,0,0,0,0,0,1,0
0,1,1,0,1,0,0,1
1,0,1,1,1,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0
0,0,1,1,0,1,1,0
0,0,1,0,0,1,0,1
